genre,budget,runtime,release_month,popularity_score,revenue
Action,80000000,140,7,78,180000000
Drama,45000000,125,10,65,70000000
Comedy,30000000,105,6,72,55000000
Sci-Fi,120000000,150,11,82,220000000
Horror,20000000,95,10,58,35000000
Romance,25000000,110,2,69,42000000
Thriller,60000000,130,8,75,110000000
Action,90000000,145,5,80,190000000
Drama,40000000,118,9,66,65000000
Comedy,28000000,100,3,70,50000000
Sci-Fi,110000000,148,12,85,210000000
Horror,22000000,96,9,60,37000000
Romance,26000000,112,1,71,43000000
Thriller,65000000,132,7,76,115000000
Action,85000000,142,6,79,175000000
Drama,47000000,128,11,64,72000000
Comedy,32000000,107,4,73,56000000
Sci-Fi,130000000,152,8,83,230000000
Horror,21000000,94,5,59,34000000
Romance,24000000,109,12,68,41000000
